sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angle;
1651507876;865462;1651507876;865476;1651507876;865462;0.8128864;
1651507877;166602;1651507877;166617;1651507877;166602;0.8510385;
1651507877;394438;1651507877;394450;1651507877;394438;0.9845502;
1651507877;607810;1651507877;607822;1651507877;607810;0.9832694;
1651507877;825023;1651507877;825035;1651507877;825023;0.9600338;
1651507878;37703;1651507878;37717;1651507878;37703;0.9801536;
1651507878;383250;1651507878;383264;1651507878;383250;1.011821;
1651507878;594774;1651507878;594787;1651507878;594774;0.5342939;
1651507878;793890;1651507878;793904;1651507878;793890;0.4694314;
1651507879;8931;1651507879;8946;1651507879;8931;-0.0605848;
1651507879;201743;1651507879;201757;1651507879;201743;-0.1731231;
1651507879;423077;1651507879;423092;1651507879;423077;0.1076791;
1651507879;859764;1651507879;859777;1651507879;859764;0.2071898;
1651507880;55191;1651507880;55203;1651507880;55191;0.1435683;
1651507880;261889;1651507880;261902;1651507880;261889;0.1517231;
1651507880;474170;1651507880;474188;1651507880;474170;0.0358514;
1651507880;660165;1651507880;660178;1651507880;660165;0.1551151;
1651507880;880465;1651507880;880518;1651507880;880465;0.2503449;
1651507881;226980;1651507881;226993;1651507881;226980;-0.06162248;
1651507881;489428;1651507881;489445;1651507881;489428;0.06736449;
1651507881;655646;1651507881;655660;1651507881;655646;0.09117445;
1651507881;869290;1651507881;869302;1651507881;869290;0.1107675;
1651507882;71765;1651507882;71780;1651507882;71765;0.1353942;
1651507882;234543;1651507882;234564;1651507882;234543;0.1333479;
1651507882;581390;1651507882;581403;1651507882;581390;0.1313004;
1651507882;814960;1651507882;814975;1651507882;814960;0.1333479;
1651507883;29368;1651507883;29383;1651507883;29368;0.1871504;
1651507883;336447;1651507883;336460;1651507883;336447;0.3497903;
1651507883;570326;1651507883;570349;1651507883;570326;0.3771051;
1651507883;793494;1651507883;793506;1651507883;793494;0.05802543;
1651507884;184506;1651507884;184519;1651507884;184506;0.2992465;
1651507884;426719;1651507884;426735;1651507884;426719;0.7710388;
1651507884;683976;1651507884;683989;1651507884;683976;0.764559;
1651507884;889185;1651507884;889200;1651507884;889185;0.7975225;
1651507885;140340;1651507885;140357;1651507885;140340;0.7385768;
1651507885;372957;1651507885;372969;1651507885;372957;0.8130507;
1651507885;745211;1651507885;745224;1651507885;745211;0.915897;
1651507885;950567;1651507885;950582;1651507885;950567;0.8858631;
1651507886;189709;1651507886;189722;1651507886;189709;0.8667729;
1651507886;406654;1651507886;406667;1651507886;406654;0.8424914;
1651507886;603156;1651507886;603170;1651507886;603156;0.9664977;
1651507886;974444;1651507886;974467;1651507886;974444;0.9409901;
1651507887;282217;1651507887;282231;1651507887;282217;0.8960379;
1651507887;700258;1651507887;700275;1651507887;700258;0.9626565;
1651507887;940115;1651507887;940127;1651507887;940115;0.8378443;
1651507888;205268;1651507888;205281;1651507888;205268;0.9848697;
1651507888;412329;1651507888;412342;1651507888;412329;0.9060931;
1651507888;698666;1651507888;698684;1651507888;698666;1.062027;
1651507888;948761;1651507888;948775;1651507888;948761;0.969518;
1651507889;277525;1651507889;277539;1651507889;277525;0.8125576;
1651507889;594843;1651507889;594856;1651507889;594843;0.9839104;
1651507889;965911;1651507889;965926;1651507889;965911;0.6129192;
1651507890;249191;1651507890;249205;1651507890;249191;0.1045887;
1651507890;480261;1651507890;480274;1651507890;480261;0.6780728;
1651507890;926410;1651507890;926423;1651507890;926410;0.5280932;
1651507891;120490;1651507891;120504;1651507891;120490;0.3804044;
1651507891;325068;1651507891;325082;1651507891;325068;0.09117445;
1651507891;497374;1651507891;497389;1651507891;497374;0.527315;
1651507891;729108;1651507891;729122;1651507891;729108;0.3668528;
1651507891;924534;1651507891;924547;1651507891;924534;0.07462025;
1651507892;283840;1651507892;283855;1651507892;283840;0.1961879;
1651507892;532445;1651507892;532460;1651507892;532445;-0.1184272;
1651507892;723341;1651507892;723355;1651507892;723341;-0.1132895;
1651507892;903606;1651507892;903619;1651507892;903606;0.3467207;
1651507893;123492;1651507893;123507;1651507893;123492;0.3430282;
1651507893;311674;1651507893;311689;1651507893;311674;0.3365428;
1651507893;508572;1651507893;508584;1651507893;508572;-0.3001894;
1651507893;883923;1651507893;883938;1651507893;883923;-0.4349751;
1651507894;83037;1651507894;83050;1651507894;83037;-0.1562334;
1651507894;262764;1651507894;262777;1651507894;262764;-0.4063562;
1651507894;471627;1651507894;471643;1651507894;471627;-0.4511167;
1651507894;667881;1651507894;667895;1651507894;667881;-0.4842825;
1651507894;878319;1651507894;878333;1651507894;878319;-0.4435016;
1651507895;90370;1651507895;90386;1651507895;90370;-0.4744498;
1651507895;587347;1651507895;587359;1651507895;587347;-0.5076278;
1651507895;783882;1651507895;783900;1651507895;783882;-0.1143175;
1651507895;988208;1651507895;988224;1651507895;988208;-0.3488108;
1651507896;173123;1651507896;173145;1651507896;173123;-0.3597996;
1651507896;387450;1651507896;387462;1651507896;387450;-0.3957686;
1651507896;593992;1651507896;594007;1651507896;593992;-0.4611832;
1651507896;828150;1651507896;828163;1651507896;828150;-0.6210279;
1651507897;93654;1651507897;93666;1651507897;93654;-0.2304105;
1651507897;503778;1651507897;503790;1651507897;503778;-0.2238206;
1651507897;721869;1651507897;721882;1651507897;721869;-0.4063562;
1651507897;945509;1651507897;945523;1651507897;945509;-0.4460461;
1651507898;151096;1651507898;151109;1651507898;151096;-0.5036449;
1651507898;347609;1651507898;347622;1651507898;347609;-0.3850863;
1651507898;552260;1651507898;552272;1651507898;552260;-0.4451986;
