sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1585056042;994780;1651507877;52047;1585056042;994780;0.05998505;
1585056043;95287;1651507877;280291;1585056043;95287;0.09297372;
1585056043;195808;1651507877;493086;1585056043;195808;0.1379559;
1585056043;296409;1651507877;709532;1585056043;296409;0.1379559;
1585056043;396929;1651507877;939926;1585056043;396929;0.1379559;
1585056043;497450;1651507878;121732;1585056043;497450;0.1379559;
1585056043;597977;1651507878;294805;1585056043;597977;0.1229618;
1585056043;698593;1651507878;496855;1585056043;698593;-0;
1585056043;799136;1651507878;695710;1585056043;799136;-0;
1585056043;899785;1651507878;900301;1585056043;899785;-0;
1585056044;358;1651507879;101844;1585056044;358;-0;
1585056044;100923;1651507879;330096;1585056044;100923;-0;
1585056044;201411;1651507879;530555;1585056044;201411;-0;
1585056044;301945;1651507879;745136;1585056044;301945;-0;
1585056044;402499;1651507879;951788;1585056044;402499;-0;
1585056044;503100;1651507880;185728;1585056044;503100;0.05998505;
1585056044;603635;1651507880;377347;1585056044;603635;-0;
1585056044;704254;1651507880;569876;1585056044;704254;-0;
1585056044;804821;1651507880;789967;1585056044;804821;-0;
1585056044;905339;1651507880;970783;1585056044;905339;-0;
1585056045;5838;1651507881;132491;1585056045;5838;-0;
1585056045;106355;1651507881;394360;1585056045;106355;-0;
1585056045;206860;1651507881;585339;1585056045;206860;-0;
1585056045;307397;1651507881;777973;1585056045;307397;-0;
1585056045;408757;1651507881;982371;1585056045;408757;-0;
1585056045;508836;1651507882;160948;1585056045;508836;-0;
1585056045;609788;1651507882;319838;1585056045;609788;-0;
1585056045;710385;1651507882;498807;1585056045;710385;-0;
1585056045;810916;1651507882;726448;1585056045;810916;-0;
1585056045;911508;1651507882;942271;1585056045;911508;-0;
1585056046;12022;1651507883;241613;1585056046;12022;-0;
1585056046;112742;1651507883;501193;1585056046;112742;-0;
1585056046;213361;1651507883;711740;1585056046;213361;-0;
