sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1585056042;994553;1651507877;42017;1585056042;994553;0.123722;
1585056043;95060;1651507877;272923;1585056043;95060;0.123722;
1585056043;195591;1651507877;490288;1585056043;195591;0.123722;
1585056043;296100;1651507877;702913;1585056043;296100;0.123722;
1585056043;396659;1651507877;936994;1585056043;396659;0.123722;
1585056043;497237;1651507878;120181;1585056043;497237;0.123722;
1585056043;597708;1651507878;293814;1585056043;597708;0.1134068;
1585056043;698340;1651507878;494049;1585056043;698340;0.1134068;
1585056043;798881;1651507878;694028;1585056043;798881;0.1134068;
1585056043;899476;1651507878;894407;1585056043;899476;0.1134068;
1585056044;93;1651507879;100195;1585056044;93;0.1134068;
1585056044;100649;1651507879;327878;1585056044;100649;0.1134068;
1585056044;201203;1651507879;524994;1585056044;201203;0.1134068;
1585056044;301689;1651507879;740157;1585056044;301689;0.103122;
1585056044;402232;1651507879;950641;1585056044;402232;0.09280679;
1585056044;502853;1651507880;178638;1585056044;502853;0.09280679;
1585056044;603426;1651507880;374837;1585056044;603426;0.09280679;
1585056044;703959;1651507880;568836;1585056044;703959;0.09280679;
1585056044;804518;1651507880;787737;1585056044;804518;0.09280679;
1585056044;905078;1651507880;967463;1585056044;905078;0.09280679;
1585056045;5606;1651507881;132190;1585056045;5606;0.09280679;
1585056045;106104;1651507881;389884;1585056045;106104;0.103122;
1585056045;206606;1651507881;581386;1585056045;206606;0.103122;
1585056045;307159;1651507881;770891;1585056045;307159;0.103122;
1585056045;407715;1651507881;978228;1585056045;407715;0.103122;
1585056045;508528;1651507882;159228;1585056045;508528;0.103122;
1585056045;609266;1651507882;300907;1585056045;609266;0.103122;
1585056045;710135;1651507882;493203;1585056045;710135;0.103122;
1585056045;810643;1651507882;720746;1585056045;810643;0.1134068;
1585056045;911206;1651507882;940988;1585056045;911206;0.1134068;
1585056046;11766;1651507883;235384;1585056046;11766;0.1134068;
1585056046;112344;1651507883;497587;1585056046;112344;0.1134068;
1585056046;213057;1651507883;707726;1585056046;213057;0.1134068;
1585056046;313789;1651507883;935885;1585056046;313789;0.1134068;
1585056046;413867;1651507884;116616;1585056046;413867;0.1134068;
1585056046;514411;1651507884;354478;1585056046;514411;0.1134068;
1585056046;614965;1651507884;602037;1585056046;614965;0.1134068;
1585056046;715532;1651507884;821128;1585056046;715532;0.1134068;
1585056046;816144;1651507885;63312;1585056046;816144;0.1134068;
1585056046;916736;1651507885;290164;1585056046;916736;0.1134068;
1585056047;17671;1651507885;492455;1585056047;17671;0.1134068;
1585056047;118689;1651507885;675868;1585056047;118689;0.1134068;
1585056047;219519;1651507885;882562;1585056047;219519;0.1134068;
1585056047;320047;1651507886;122243;1585056047;320047;0.1134068;
1585056047;420546;1651507886;345260;1585056047;420546;0.1134068;
1585056047;521108;1651507886;538992;1585056047;521108;0.1134068;
1585056047;621667;1651507886;908260;1585056047;621667;0.1134068;
1585056047;722316;1651507887;223686;1585056047;722316;0.1134068;
1585056047;822943;1651507887;451487;1585056047;822943;0.1134068;
1585056047;923612;1651507887;634332;1585056047;923612;0.1134068;
1585056048;24274;1651507887;880758;1585056048;24274;0.1134068;
1585056048;124445;1651507888;97622;1585056048;124445;0.1134068;
1585056048;225101;1651507888;344668;1585056048;225101;0.1134068;
1585056048;325622;1651507888;642737;1585056048;325622;0.1134068;
1585056048;426170;1651507888;882254;1585056048;426170;0.1134068;
1585056048;526763;1651507889;202559;1585056048;526763;0.1134068;
1585056048;627453;1651507889;550967;1585056048;627453;0.1134068;
1585056048;728219;1651507889;901489;1585056048;728219;0.1134068;
1585056048;828969;1651507890;193968;1585056048;828969;0.1134068;
1585056048;929924;1651507890;418882;1585056048;929924;0.1134068;
1585056049;30502;1651507890;717474;1585056049;30502;0.1134068;
1585056049;133178;1651507890;909442;1585056049;133178;0.1134068;
1585056049;233778;1651507891;118753;1585056049;233778;0.1134068;
1585056049;334352;1651507891;312804;1585056049;334352;0.1134068;
1585056049;434937;1651507891;481348;1585056049;434937;0.1134068;
1585056049;535551;1651507891;716631;1585056049;535551;0.1134068;
1585056049;636117;1651507891;913104;1585056049;636117;0.1134068;
1585056049;736640;1651507892;90522;1585056049;736640;0.1134068;
1585056049;837191;1651507892;284114;1585056049;837191;0.1134068;
1585056049;937770;1651507892;524813;1585056049;937770;0.1134068;
1585056050;38339;1651507892;717451;1585056050;38339;0.1134068;
1585056050;138847;1651507892;903796;1585056050;138847;0.1134068;
1585056050;239325;1651507893;124962;1585056050;239325;0.1134068;
1585056050;339973;1651507893;306309;1585056050;339973;0.1134068;
1585056050;440566;1651507893;502858;1585056050;440566;0.1134068;
1585056050;541045;1651507893;677439;1585056050;541045;0.1134068;
1585056050;641614;1651507893;881494;1585056050;641614;0.1134068;
1585056050;742154;1651507894;85164;1585056050;742154;0.1134068;
1585056050;842676;1651507894;268162;1585056050;842676;0.1134068;
1585056050;943378;1651507894;474319;1585056050;943378;0.1134068;
1585056051;43904;1651507894;666388;1585056051;43904;0.1134068;
1585056051;144465;1651507894;878498;1585056051;144465;0.1134068;
1585056051;245065;1651507895;98759;1585056051;245065;0.1134068;
1585056051;345661;1651507895;309006;1585056051;345661;0.1134068;
1585056051;446455;1651507895;596014;1585056051;446455;0.1134068;
1585056051;546979;1651507895;804594;1585056051;546979;0.1134068;
1585056051;647555;1651507895;988390;1585056051;647555;0.1134068;
1585056051;748169;1651507896;183819;1585056051;748169;0.1134068;
1585056051;848768;1651507896;396013;1585056051;848768;0.1134068;
1585056051;949402;1651507896;614823;1585056051;949402;0.1134068;
1585056052;49962;1651507896;851709;1585056052;49962;0.123722;
1585056052;151085;1651507897;119584;1585056052;151085;0.1134068;
1585056052;251817;1651507897;305753;1585056052;251817;0.1134068;
1585056052;352356;1651507897;520096;1585056052;352356;0.123722;
1585056052;452913;1651507897;750280;1585056052;452913;0.1134068;
1585056052;553426;1651507897;970471;1585056052;553426;0.1134068;
1585056052;653946;1651507898;166029;1585056052;653946;0.123722;
1585056052;754437;1651507898;373622;1585056052;754437;0.123722;
